rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
8,8,-1,OLD,20167904,라라랜드,2016-12-07,100091300,1.8,-14063500,-12.3,28123787628,11473,-1616,-12.3,3362015,162,256,2017-03-05,
9,9,0,OLD,20165927,문라이트,2017-02-22,96835300,1.8,-3128600,-3.1,855248200,10719,-889,-7.7,105284,180,346,2017-03-05,
10,10,1,OLD,20166468,사일런스,2017-02-28,66839600,1.2,-7244200,-9.8,399402900,8442,-834,-9,50962,301,455,2017-03-05,
1,1,0,OLD,20150971,해빙,2017-03-01,1277909300,63.6,-348327617,-21.4,7576494665,150264,-41577,-21.7,909888,896,4145,2017-03-05,K
2,2,0,OLD,20166421,재심,2017-02-15,431965100,21.5,-50777000,-10.5,18079065737,51240,-6197,-10.8,2266924,534,1476,2017-03-05,K
3,3,0,OLD,20158799,눈길,2017-03-01,123051900,6.1,-2762400,-2.2,693853500,15389,-701,-4.4,89721,436,885,2017-03-05,K
4,4,0,OLD,20150964,조작된 도시,2017-02-09,99962400,5.0,-4992600,-4.8,19979706387,11901,-728,-5.8,2492389,251,431,2017-03-05,K
5,5,0,OLD,20161723,싱글라이더,2017-02-22,40825500,2.0,-6986600,-14.6,2592571721,4884,-843,-14.7,338663,208,282,2017-03-05,K
6,6,2,OLD,20168668,레이디버그,2017-02-22,10736500,0.5,608000,6,303396500,1383,98,7.6,40178,67,80,2017-03-05,K
7,7,2,OLD,20151228,공조,2017-01-18,7190700,0.4,-2118000,-22.8,63775227326,843,-230,-21.4,7816521,32,44,2017-03-05,K
8,8,2,OLD,20166422,커피 메이트,2017-03-01,6062500,0.3,202000,3.4,38005000,709,16,2.3,4588,84,132,2017-03-05,K
9,9,-3,OLD,20150753,눈발,2017-03-01,5643000,0.3,-17825000,-76,99216300,684,-1857,-73.1,10917,56,78,2017-03-05,K
10,10,1,OLD,20156562,루시드 드림,2017-02-22,3281500,0.2,322000,10.9,754779000,449,46,11.4,101517,29,35,2017-03-05,K
1,1,0,OLD,20161827,로건,2017-03-01,2153128400,62.8,-243198417,-10.1,9404587165,242997,-26113,-9.7,1079865,954,4047,2017-03-05,F
2,2,0,OLD,20170241,23 아이덴티티,2017-02-22,561934400,16.4,-107721883,-16.1,12405049335,65168,-12565,-16.2,1527342,525,1885,2017-03-05,F
3,3,0,OLD,20161744,트롤,2017-02-16,180860800,5.3,6301200,3.6,4755581200,22796,520,2.3,642652,389,763,2017-03-05,F
4,4,0,OLD,20167904,라라랜드,2016-12-07,100091300,2.9,-14063500,-12.3,28123787628,11473,-1616,-12.3,3362015,162,256,2017-03-05,F
5,5,0,OLD,20165927,문라이트,2017-02-22,96835300,2.8,-3128600,-3.1,855248200,10719,-889,-7.7,105284,180,346,2017-03-05,F
6,6,1,OLD,20166468,사일런스,2017-02-28,66839600,2.0,-7244200,-9.8,399402900,8442,-834,-9,50962,301,455,2017-03-05,F
7,7,-1,OLD,20166101,존 윅 - 리로드,2017-02-22,67050500,2.0,-15964000,-19.2,2017288600,7537,-1873,-19.9,247687,164,360,2017-03-05,F
8,8,0,OLD,20170509,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,43751000,1.3,-10666500,-19.6,685340000,5679,-1377,-19.5,89581,91,152,2017-03-05,F
9,9,0,OLD,20167922,핵소 고지,2017-02-22,27869700,0.8,-6613900,-19.2,1248556300,3399,-830,-19.6,163689,93,126,2017-03-05,F
10,10,0,OLD,20170381,매직키드 보보,2017-03-01,24032900,0.7,1416600,6.3,113411500,3142,175,5.9,14906,206,253,2017-03-05,F
1,1,0,OLD,20161827,로건,2017-03-01,681379000,43.8,-1471749400,-68.4,10085966165,87367,-155630,-64,1167232,886,3857,2017-03-06,
2,2,0,OLD,20150971,해빙,2017-03-01,301544100,19.4,-976365200,-76.4,7878038765,39765,-110499,-73.5,949653,766,3482,2017-03-06,
3,3,0,OLD,20170241,23 아이덴티티,2017-02-22,145155200,9.3,-416779200,-74.2,12550204535,18765,-46403,-71.2,1546107,469,1745,2017-03-06,
4,4,0,OLD,20166421,재심,2017-02-15,115002000,7.4,-316963100,-73.4,18194067737,15650,-35590,-69.5,2282574,492,1422,2017-03-06,
5,5,5,OLD,20166468,사일런스,2017-02-28,37643000,2.4,-29196600,-43.7,437045900,5482,-2960,-35.1,56444,321,498,2017-03-06,
6,6,0,OLD,20158799,눈길,2017-03-01,35772700,2.3,-87279200,-70.9,729626200,5189,-10200,-66.3,94910,419,873,2017-03-06,
7,7,2,OLD,20165927,문라이트,2017-02-22,35729800,2.3,-61105500,-63.1,890978000,4751,-5968,-55.7,110035,179,343,2017-03-06,
8,8,0,OLD,20167904,라라랜드,2016-12-07,33095100,2.1,-66996200,-66.9,28156882728,4388,-7085,-61.8,3366403,156,269,2017-03-06,
9,9,2,OLD,20166101,존 윅 - 리로드,2017-02-22,25878900,1.7,-41171600,-61.4,2043167500,3964,-3573,-47.4,251651,176,402,2017-03-06,
10,10,-3,OLD,20150964,조작된 도시,2017-02-09,27730300,1.8,-72232100,-72.3,20007436687,3820,-8081,-67.9,2496209,236,412,2017-03-06,
1,1,0,OLD,20150971,해빙,2017-03-01,301544100,57.2,-976365200,-76.4,7878038765,39765,-110499,-73.5,949653,766,3482,2017-03-06,K
2,2,0,OLD,20166421,재심,2017-02-15,115002000,21.8,-316963100,-73.4,18194067737,15650,-35590,-69.5,2282574,492,1422,2017-03-06,K
3,3,0,OLD,20158799,눈길,2017-03-01,35772700,6.8,-87279200,-70.9,729626200,5189,-10200,-66.3,94910,419,873,2017-03-06,K
4,4,0,OLD,20150964,조작된 도시,2017-02-09,27730300,5.3,-72232100,-72.3,20007436687,3820,-8081,-67.9,2496209,236,412,2017-03-06,K
5,5,0,OLD,20161723,싱글라이더,2017-02-22,20916400,4.0,-19909100,-48.8,2613488121,2937,-1947,-39.9,341600,217,313,2017-03-06,K
6,6,0,NEW,20162181,프리즌,2017-03-23,8319000,1.6,8319000,100,8319000,1129,1129,100,1129,9,9,2017-03-06,K
7,7,2,OLD,20150753,눈발,2017-03-01,6520000,1.2,877000,15.5,105736300,855,171,25,11772,56,77,2017-03-06,K
8,8,0,OLD,20166422,커피 메이트,2017-03-01,3583500,0.7,-2479000,-40.9,41588500,488,-221,-31.2,5076,85,136,2017-03-06,K
9,9,0,NEW,20172641,마리안느와 마가렛,2017-04-20,3064000,0.6,3064000,100,3064000,383,383,100,383,1,1,2017-03-06,K
10,10,-3,OLD,20151228,공조,2017-01-18,2082500,0.4,-5108200,-71,63777309826,290,-553,-65.6,7816811,32,40,2017-03-06,K
1,1,0,OLD,20161827,로건,2017-03-01,681379000,66.3,-1471749400,-68.4,10085966165,87367,-155630,-64,1167232,886,3857,2017-03-06,F
2,2,0,OLD,20170241,23 아이덴티티,2017-02-22,145155200,14.1,-416779200,-74.2,12550204535,18765,-46403,-71.2,1546107,469,1745,2017-03-06,F
3,3,3,OLD,20166468,사일런스,2017-02-28,37643000,3.7,-29196600,-43.7,437045900,5482,-2960,-35.1,56444,321,498,2017-03-06,F
4,4,1,OLD,20165927,문라이트,2017-02-22,35729800,3.5,-61105500,-63.1,890978000,4751,-5968,-55.7,110035,179,343,2017-03-06,F
5,5,-1,OLD,20167904,라라랜드,2016-12-07,33095100,3.2,-66996200,-66.9,28156882728,4388,-7085,-61.8,3366403,156,269,2017-03-06,F
6,6,1,OLD,20166101,존 윅 - 리로드,2017-02-22,25878900,2.5,-41171600,-61.4,2043167500,3964,-3573,-47.4,251651,176,402,2017-03-06,F
7,7,2,OLD,20167922,핵소 고지,2017-02-22,12158600,1.2,-15711100,-56.4,1260714900,1703,-1696,-49.9,165392,109,150,2017-03-06,F
