rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
6,6,0,OLD,20161923,시간위의 집,2017-04-05,5920000,0.9,1728000,41.2,47762600,474,-50,-9.5,6086,17,18,2017-04-04,K
7,7,-2,OLD,20173301,"서서평, 천천히 평온하게",2017-04-26,3456000,0.6,-760000,-18,8862000,432,-95,-18,1129,1,1,2017-04-04,K
8,8,0,NEW,20172381,"다시, 벚꽃",2017-04-06,2904000,0.5,2904000,100,7747000,382,382,100,976,2,2,2017-04-04,K
9,9,8,OLD,20150971,해빙,2017-03-01,1051000,0.2,1035000,6468.8,9899343822,151,149,7450,1203792,16,16,2017-04-04,K
10,10,-3,OLD,20168341,하얀 까마귀, ,158000,0.0,-144000,-47.7,3266000,79,-72,-47.7,1633,1,4,2017-04-04,K
1,1,0,OLD,20164721,미녀와 야수,2017-03-16,332139100,40.9,-43483600,-11.6,34446765476,44223,-5262,-10.6,4191079,791,3120,2017-04-04,F
2,2,0,OLD,20163194,공각기동대 : 고스트 인 더 쉘,2017-03-29,233762300,28.8,-29116000,-11.1,5205533637,29398,-3928,-11.8,632425,732,3183,2017-04-04,F
3,3,0,OLD,20167363,히든 피겨스,2017-03-23,70593200,8.7,-2457100,-3.4,2434787033,9688,-172,-1.7,307035,360,779,2017-04-04,F
4,4,0,OLD,20171381,라이프,2017-04-05,57603300,7.1,15655100,37.3,110590200,7348,1928,35.6,14215,351,558,2017-04-04,F
5,5,0,OLD,20167364,미스 슬로운,2017-03-29,16126500,2.0,-1056000,-6.1,206786500,2182,-153,-6.6,26711,102,228,2017-04-04,F
6,6,0,OLD,20167005,데스노트: 더 뉴 월드,2017-03-29,11533300,1.4,-243700,-2.1,198721263,1543,-4,-0.3,25912,232,328,2017-04-04,F
7,7,0,OLD,20164926,분노,2017-03-30,9522400,1.2,1535900,19.2,97968637,1304,194,17.5,12326,92,130,2017-04-04,F
8,8,0,NEW,20162607,슈퍼 버드,2017-04-06,9592000,1.2,9592000,100,18808000,1199,1199,100,2364,5,5,2017-04-04,F
9,9,11,OLD,20171781,패트리어트 데이,2017-04-06,7160000,0.9,5080000,244.2,91118500,895,635,244.2,10998,4,4,2017-04-04,F
10,10,-1,OLD,20167904,라라랜드,2016-12-07,6573500,0.8,-435200,-6.2,29120336133,878,-56,-6,3486270,50,60,2017-04-04,F
